สำนักนายกรัฐมนตรี  Oficejo de ĉefministro
กระทรวงกลาโหม  Ministerio pri defendo
กระทรวงการคลัง  Ministerio pri financoj
กระทรวงการต่างประเทศ  Ministerio pri eksterlandaj aferoj 
กระทรวงการท่องเที่ยวและกีฬา  Ministerio pri turismo kaj sportoj
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์  Ministerio pri socia disvolviĝo kaj homa sekureco
กระทรวงเกษตรและสหกรณ์  Ministerio pri agrikulturoj kaj kooparativoj
กระทรวงคมนาคม  Ministerio pri transportoj
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม  Ministerio pri naturaj rimedoj kaj medio
กระทรวงวิทยาศาสตร์และเทคโนโลยี  Ministerio pri scienco kaj teknologio
กระทรวงพลังงาน Ministerio pri energio
กระทรวงพาณิชย์  Ministerio pri komerco
กระทรวงมหาดไทย  Ministerio pri internaj aferoj
กระทรวงยุติธรรม  Ministerio pri justeco
กระทรวงแรงงาน  Ministerio pri laboristoj
กระทรวงวัฒนธรรม  Ministerio pri kulturo
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม  Ministerio pri cifereca ekonomio kaj socio
กระทรวงศึกษาธิการ Ministerio pri edukado
กระทรวงสาธารณสุข  Ministerio pri sano
กระทรวงอุตสาหกรรม  Ministerio pri industrio

 ĉinstilaj nudeloj ก๊วยเตี๋ยว; nudelego(j) เส้นใหญ่, nudeleto(j) เส้นเล็ก; maldiknudeloj วุ้นเส้น; nudelvendejo ร้านก๋วยเตี๋ยว; fabonudeloj วุ้นเส้น; fritnudeloj หมี่กรอบ: tajstilaj fritnudeloj ผัดไทย; ovonudeloj บะหมี่, riznudeloj: ĉinaj riznudeloj ก๋วยเตี๋ยว; riznudeloj en sojsaŭco ผัดซีอิ็ว; strinudeloj เส้นหมี่, tujpreta nudelo บะหมี่กึ่งสำเร็จรูป
 
ปีฉลู  Jaro de la Bovo 
ปีมะเมีย  Jaro de la Ĉevalo 
ปีมะโรง  Jaro de la Drako 
ปีจอ  Jaro de la Hundo 
ปีมะแม  Jaro de la Kapro 
ปีระกา  Jaro de la Koko 
ปีเถาะ  Jaro de la Kuniklo 
ปีกุน  Jaro de la Porko 
ปีชาด  Jaro de la Rato 
ปีมะเส็ง  Jaro de la Serpento 
ปีวอก  Jaro de la Simio 
ปีขาล  Jaro de la Tigro

Abuĝo กรุงอาบูจา เมืองหลวงประเทศไนจีเรีย 
Jerusalemo กรุงเยรูซาเลม เมืองหลวงประเทศอิสราเอล 
Kabulo  กรุงคาบูล เมืองหลวงประเทศอัฟกานิสถาน
Kairo กรุงไคโร เมืองหลวงประเทศอียิปต์ 
Kanbero กรุงแคนเบอร์รา เมืองหลวงประเทศออสเตรเลีย 
Katmanduo กรุงกาฐมาณฑุ เมืองหลวงประเทศเนปาล 
Kievo กรุงเคียฟ เมืองหลวงประเทศยูเครน 
Kolombo กรุงโคลัมโบ เมืองหลวงประเทศศรีลังกา 
Kopenhago กรุงโคเปนเฮเกน เมืองหลวงประเทศเดนมาร์ก 
Kuala-Lumpuro กรุงกัวลาลัมเปอร์ เมืองหลวงประเทศมาเลเซีย 
Kuvajturbo กรุงคูเวตซิตี เมืองหลวงประเทศคูเวต
La-Valeto กรุงวัลเลตตา เมืองหลวงประเทศมอลตา 
Limo กรุงลิมา เมืองหลวงประเทศเปรู  
Lisbono กรุงลิสบอน เมืองหลวงประเทศโปรตุเกส 
Ljubljano กรุงลูบลิยานา เมืองหลวงประเทศสโลวีเนีย 
Londono กรุงลอนดอน เมืองหลวงประเทศอังกฤษ  
Luando กรุงลูอันดา เมืองหลวงประเทศแองโกลา 
Madrido กรุงมาดริด เมืองหลวงประเทศสเปน  
Manilo กรุงมะนิลา เมืองหลวงประเทศฟิลิปปินส์
Meksik-urbo เม็กซิโกซิตี เมืองหลวงประเทศเม็กซิโก 
Moskvo กรุงมอสโก เมืองหลวงประเทศรัสเซีย 
Nepjido กรุงเนปยีดอ เมืองหลวงประเทศเมียนมา
Ngerulmudo กรุงเงรุลมุด เมืองหลวงประเทศปาเลา  
Nikozio กรุงนิโคเซีย เมืองหลวงประเทศไซปรัส 
Nov-Delhio กรุงนิวเดลี เมืองหลวงประเทศอินเดีย
Nov-Delhio กรุงนิวเดลี เมืองหลวงประเทศอินเดีย 
Oslo กรุงออสโล เมืองหลวงประเทศนอร์เวย์ 
Otavo กรุงออตตาวา เมืองหลวงประเทศแคนาดา 
Parizo กรุงปารีส เมืองหลวงประเทศฝรั่งเศส 
Pekino กรุงปักกิ่ง เมืองหลวงประเทศจีน  
Pnom-Peno กรุงพนมเปญ เมืองหลวงประเทศกัมพูชา 
Port-Moresbo กรุงพอร์ตมอร์สบี เมืองหลวงประเทศปาปัวนิวกินี 
Prago กรุงปราก เมืองหลวงประเทศเช็ก 
Pretorio กรุงพริทอเรีย เมืองหลวงประเทศแอฟริกาใต้ 
Rabato กรุงราบัต เมืองหลวงประเทศโมร็อกโก 
Riado กรุงรียาด เมืองหลวงประเทศซาอุดีอาระเบีย 
Romo กรุงโรม เมืองหลวงประเทศอิตาลี 
Seulo กรุงโซล เมืองหลวงประเทศเกาหลีใต้ 
Seulo กรุงโซล เมืองหลวงประเทศเกาหลีใต้ 
Stokholmo กรุงสต็อกโฮล์ม เมืองหลวงประเทศสวีเดน 
Suvo กรุงซูวา เมืองหลวงประเทศฟิจิ 
Tajpeo ไทเป เมืองหลวงไต้หวัน 
Tbiliso กรุงทบิลิซิ เมืองหลวงประเทศจอร์เจีย 
Teherano กรุงเตหะราน เมืองหลวงประเทศอิหร่าน 
Timbuo กรุงทิมพู เมืองหลวงประเทศภูฏาน 
Tirano กรุงติรานา เมืองหลวงประเทศแอลเบเนีย  
Tokio กรุงโตเกียว เมืองหลวงประเทศญี่ปุ่น 
Ulanbatoro กรุงอูลานบาตาร์ เมืองหลวงประเทศมองโกเลีย 
Varsovio กรุงวอร์ซอ เมืองหลวงประเทศโปแลนด์ 
Vaŝingtono กรุงวอชิงตัน เมืองหลวงประเทศสหรัฐอเมริกา
Vieno กรุงเวียนนา เมืองหลวงประเทศออสเตรีย  
Viktorio กรุงวิกตอเรีย เมืองหลวงประเทศเซเชลส์ 
Vjentjano กรุงเวียงจันทน์ เมืองหลวงประเทศลาว 
